15.02.2012,15,29,35,36,40,41,11
11.02.2012, 2,11,32,34,48,49,14
08.02.2012, 8,13,24,34,45,47,12
04.02.2012,10,15,24,27,40,45,17
01.02.2012, 3, 6,7,18,37,39,49
25.01.2012, 1, 4, 6,24,33,47,21
21.01.2012,26,27,43,45,46,49,11
18.01.2012, 6, 7,13,18,32,33,38
14.01.2012, 1, 6, 7,11,20,32,26
11.01.2012, 8,11,15,34,36,47,12
07.01.2012,22,24,29,33,37,47,2
04.01.2012, 3,18,24,29,36,46,39
31.12.2011, 2, 5,11,17,19,28,10
28.12.2011, 6,13,18,19,20,21,32
24.12.2011, 6,12,26,27,32,36,42
21.12.2011,15,17,21,24,39,43,5
14.12.2011, 8,14,29,32,36,37,38
10.12.2011, 2, 4, 5,10,25,34,24
07.12.2011,11,16,20,27,32,38,1
03.12.2011, 1,10,25,29,44,47,22
30.11.2011, 4,12,18,31,42,44,13
26.11.2011, 3,13,23,33,38,49, 4
23.11.2011, 1,10,23,30,38,39,11
19.11.2011, 9,24,26,33,40,47,16
16.11.2011, 8,14,26,33,47,49,15
12.11.2011, 7,12,15,16,30,42,2
09.11.2011, 6,14,20,27,28,48,33
05.11.2011, 7,13,21,37,41,43,24
02.11.2011, 3, 6,23,40,41,43,14
29.10.2011, 6,17,23,24,35,44,10
26.10.2011,15,30,33,34,37,38,47
22.10.2011, 6, 7, 8,26,34,35,11
19.10.2011, 8,10,15,25,31,34,40
15.10.2011, 2, 5,16,18,37,39,9
12.10.2011, 8,10,28,40,43,46,17
08.10.2011,24,25,29,31,34,47,35
05.10.2011, 1, 2,15,33,43,45,18
01.10.2011, 9, 13,17,21,29,47,31
28.09.2011,10,14,18,27,38,43,35
24.09.2011, 3, 5, 6,18,24,42,46
21.09.2011,10,24,27,31,41,46,14
17.09.2011,12,23,38,42,46,49,20
14.09.2011, 4, 5,23,32,39,44,25
10.09.2011, 6, 9,10,16,28,43,36
07.09.2011, 4,10,23,27,28,39,32
03.09.2011, 2, 8,17,31,36,42,15
31.08.2011,15,17,26,29,32,47,31
27.08.2011,27,29,40,43,44,49,24
24.08.2011,19,28,31,33,36,41,44
20.08.2011, 2, 7,22,31,32,41,24
17.08.2011, 1,11,16,18,20,25,23
13.08.2011,13,14,21,29,31,34,49
10.08.2011, 8,12,16,22,23,26,32
06.08.2011, 9,11,33,36,41,49,13
03.08.2011, 4, 8,33,40,41,43,  3
30.07.2011, 8,11,21,40,42,44,27
27.07.2011,11,12,16,26,32,35, 6
23.07.2011, 8,12,18,20,24,33,27
20.07.2011, 7,11,19,23,42,49,27
16.07.2011, 3,14,15,22,27,38,49
13.07.2011, 1,25,26,30,39,47, 5
09.07.2011, 9,11,18,23,36,45,17
06.07.2011, 6,11,14,27,32,38,49
02.07.2011, 7,10,16,19,22,40,24
29.06.2011, 8,10,22,30,36,45,32
25.06.2011, 3, 4,20,28,37,42,38
22.06.2011, 1, 4,24,29,34,37,36
18.06.2011, 6,14,21,24,25,41,46
15.06.2011, 6,21,22,23,32,44, 7
11.06.2011, 8,16,18,28,34,46,32
08.06.2011, 4,15,24,31,38,49, 9
04.06.2011,17,22,34,37,38,46,43
01.06.2011,10,11,13,20,22,41, 8
28.05.2011, 4,17,19,29,34,46,37
25.05.2011, 1, 8,26,27,35,38,46
21.05.2011,13,24,28,36,45,49,12
18.05.2011, 3,13,27,30,33,41,20
14.05.2011, 1, 9,10,11,20,31,24
11.05.2011, 8,26,28,29,31,35,38
07.05.2011, 5,12,23,29,34,41, 6
04.05.2011, 6,14,22,30,36,40,21
30.04.2011,10,12,19,29,33,34, 9
27.04.2011,16,21,32,33,42,46, 7
23.04.2011, 6,16,18,22,29,41,48
20.04.2011,13,20,36,39,40,44,42
16.04.2011, 3, 4,17,19,35,49,45
13.04.2011, 6, 9,16,23,26,47,35
09.04.2011,12,26,32,39,44,47, 8
06.04.2011, 9,14,19,27,31,39,38
02.04.2011, 1,16,25,29,33,47,37
30.03.2011,13,18,23,31,32,37,40
26.03.2011,17,19,20,25,28,37,23
23.03.2011, 5,11,16,34,40,42,25
19.03.2011,10,11,16,21,41,46,39
16.03.2011, 5,18,20,35,41,48,30
12.03.2011, 9,15,19,31,38,43, 5
09.03.2011, 6,13,14,27,41,48,18
05.03.2011, 7,13,15,28,33,39,18
02.03.2011, 4, 9,36,38,42,48,41
26.02.2011,18,19,32,38,47,49,22
23.02.2011, 6,16,22,27,39,40,30
19.02.2011,12,14,16,33,42,47,24
16.02.2011, 3, 8,11,25,30,46,14
12.02.2011, 1, 2, 5,24,31,32,12
09.02.2011,13,14,23,39,41,46,24
05.02.2011, 9,11,24,34,35,41,19
02.02.2011, 6,15,17,22,34,46,35
29.01.2011, 8,11,21,30,35,45,22
26.01.2011, 6,22,23,28,34,37,25
22.01.2011, 3, 7,14,19,23,35,11
19.01.2011, 5, 6,8,29,34,35,23
15.01.2011,12,13,21,26,33,38,29
12.01.2011, 2, 8,12,22,23,28, 4
08.01.2011,23,26,27,32,33,41,36
05.01.2011,24,29,36,42,46,49,39
01.01.2011, 2,14,18,26,35,36, 8
29.12.2010,14,15,20,37,42,48, 1
25.12.2010, 2, 9,10,11,29,46,14
22.12.2010, 6,18,26,35,36,45,31
18.12.2010, 4,16,21,39,40,42,31
15.12.2010, 3, 9,14,28,43,45,49
11.12.2010, 5, 7,16,27,31,43, 2
08.12.2010, 2, 7,14,16,18,26,12
04.12.2010,13,18,24,37,41,48, 9
01.12.2010,15,20,25,32,39,41,31
27.11.2010, 1, 4, 8,10,35,45, 2
24.11.2010, 5, 8,26,33,35,46,40
20.11.2010, 4,17,29,32,33,34,46
17.11.2010, 1,16,18,24,28,47,49
13.11.2010, 8,13,17,19,24,43,31
10.11.2010, 8,11,12,21,22,49,29
06.11.2010, 4,14,17,18,33,34, 7
03.11.2010, 1, 5, 9,39,45,47,10
30.10.2010,11,12,15,30,39,49,29
27.10.2010,12,13,18,25,28,44,49
23.10.2010, 8, 9,23,29,34,43,35
